Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Denver Nuggets*,82,19930,43.7,88.1,.496,14.2,35.9,.396,29.5,52.2,.565,20.9,25.9,.808,9.8,34.3,44.1,29.1,6.9,4.0,12.9,19.2,122.6
2,Boston Celtics*,82,19730,44.3,94.9,.467,16.3,44.3,.367,28.1,50.6,.555,15.9,19.7,.807,13.1,35.6,48.8,25.9,7.5,5.3,13.0,20.0,120.8
3,New York Knicks*,82,19755,43.9,92.0,.478,14.7,39.3,.373,29.3,52.6,.556,17.3,21.9,.792,13.1,33.9,46.9,28.2,8.4,4.0,14.0,20.6,119.8
4,San Antonio Spurs*,82,19730,43.4,89.7,.483,13.6,37.8,.359,29.8,51.9,.574,19.3,24.5,.787,11.4,35.6,46.9,28.0,7.5,5.4,13.4,18.8,119.6
5,Charlotte Hornets,82,19755,42.1,91.5,.460,16.9,44.5,.378,25.3,47.0,.538,18.3,22.3,.818,13.2,34.3,47.4,27.1,7.2,4.6,15.9,19.6,119.4
6,Cleveland Cavaliers*,82,19755,43.2,89.8,.482,14.3,39.7,.360,29.0,50.1,.578,18.5,23.8,.776,11.7,32.6,44.3,28.2,8.5,5.0,14.0,19.5,119.2
7,Oklahoma City Thunder*,82,19855,43.0,89.0,.484,13.8,37.9,.365,29.2,51.1,.572,19.0,23.2,.817,9.5,34.5,44.1,25.7,9.7,5.5,12.6,18.9,118.9
8,Houston Rockets*,82,19905,44.2,92.4,.479,11.8,32.4,.364,32.4,60.0,.540,18.4,24.1,.763,15.5,34.0,49.5,26.1,8.8,5.9,15.8,18.8,118.6
9,Los Angeles Lakers*,82,19705,42.7,85.0,.502,12.0,33.5,.359,30.7,51.6,.595,20.7,27.2,.763,9.6,32.0,41.6,26.3,8.7,4.3,14.7,18.8,118.2
10,Detroit Pistons*,82,19805,43.5,89.6,.485,11.0,30.9,.356,32.5,58.7,.553,20.0,26.2,.763,13.1,32.5,45.6,27.9,10.5,6.4,15.2,22.0,117.9
11,Los Angeles Clippers,82,19780,41.8,86.2,.484,12.8,34.9,.368,29.0,51.4,.564,20.9,25.5,.823,9.9,32.0,41.9,24.5,9.3,5.0,14.8,19.5,117.3
12,Minnesota Timberwolves*,82,19780,42.2,87.6,.481,13.6,36.8,.370,28.6,50.8,.562,18.8,25.0,.752,10.9,32.7,43.6,25.8,8.7,5.7,14.7,21.0,116.8
13,Miami Heat,82,19705,42.2,90.1,.468,13.2,36.6,.361,29.0,53.5,.542,19.1,24.2,.792,11.4,33.3,44.7,28.0,8.3,4.1,13.2,18.2,116.7
14,Atlanta Hawks*,82,19755,42.7,90.1,.474,14.4,38.7,.371,28.4,51.4,.552,16.3,21.1,.774,10.8,31.9,42.7,29.5,9.2,4.6,13.9,19.3,116.1
15,Toronto Raptors*,82,19780,43.1,89.4,.482,11.5,32.5,.354,31.6,56.9,.555,18.2,23.7,.769,11.0,31.5,42.6,29.8,8.9,4.9,13.8,21.1,115.9
16,Philadelphia 76ers*,82,19880,41.5,89.9,.462,12.3,35.2,.349,29.3,54.7,.535,20.0,24.7,.809,11.7,31.7,43.5,24.5,9.1,5.6,13.6,20.2,115.4
