Rk,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
1,New York Knicks,28.4,16,3,.842,17,2,120.4,104.9,+15.5,95.7,.297,.395,.600,,.566,12.3,27.3,.225,,.502,13.5,78.4,.215
2,San Antonio Spurs,24.3,13,10,.565,17,6,114.3,106.7,+7.6,97.4,.300,.414,.575,,.532,13.0,27.1,.238,,.482,12.0,75.1,.204
3,Oklahoma City Thunder,25.2,11,4,.733,11,4,119.3,112.0,+7.3,95.5,.254,.416,.588,,.546,11.7,27.3,.216,,.521,14.9,71.1,.225
4,Boston Celtics,28.0,3,4,.429,4,3,113.7,110.7,+3.0,93.7,.228,.525,.551,,.523,10.9,27.0,.167,,.514,10.2,80.7,.190
5,Detroit Pistons,26.5,7,7,.500,8,6,110.7,109.0,+1.7,94.1,.303,.358,.554,,.512,14.5,30.6,.232,,.500,13.8,73.2,.270
6,Toronto Raptors,24.2,3,4,.429,3,4,111.7,113.4,-1.7,97.2,.301,.343,.561,,.526,13.7,26.4,.219,,.547,15.2,69.2,.230
7,Houston Rockets,24.3,2,4,.333,2,4,105.8,108.5,-2.7,91.6,.285,.386,.510,,.467,12.5,29.9,.213,,.538,16.8,74.0,.254
8,Cleveland Cavaliers,28.9,8,10,.444,7,11,111.5,114.7,-3.2,95.2,.339,.464,.572,,.532,15.1,28.1,.251,,.539,13.6,71.0,.208
9,Denver Nuggets,28.2,2,4,.333,2,4,109.1,113.7,-4.6,98.5,.362,.386,.556,,.496,11.0,16.6,.298,,.526,11.9,72.3,.206
10,Orlando Magic,24.7,3,4,.429,2,5,102.4,107.4,-5.0,95.4,.341,.408,.509,,.464,13.0,24.5,.243,,.499,14.9,71.1,.262
11,Los Angeles Lakers,29.5,4,6,.400,3,7,109.0,114.2,-5.2,92.8,.315,.348,.579,,.539,17.0,26.4,.240,,.526,12.4,71.4,.198
12,Minnesota Timberwolves,28.0,6,6,.500,4,8,108.3,114.1,-5.8,99.9,.264,.342,.532,,.495,12.0,25.7,.198,,.531,11.8,78.2,.273
13,Philadelphia 76ers,26.9,4,7,.364,2,9,109.9,120.5,-10.6,93.8,.268,.395,.555,,.514,11.5,20.1,.212,,.562,11.5,71.4,.190
14,Portland Trail Blazers,26.4,1,4,.200,1,4,104.3,117.3,-13.0,95.9,.248,.432,.508,,.468,11.5,26.2,.189,,.561,13.9,73.0,.220
15,Atlanta Hawks,26.1,2,4,.333,1,5,103.9,122.0,-18.1,96.6,.265,.434,.537,,.504,13.6,20.6,.191,,.569,12.0,72.5,.256
16,Phoenix Suns,26.5,0,4,.000,0,4,110.8,129.0,-18.2,95.2,.229,.435,.556,,.520,14.4,27.9,.183,,.567,9.7,68.5,.241
,League Average,26.7,,,,5,5,112.0,112.0,,95.7,.292,.404,.562,,.522,13.1,26.3,.224,,.522,13.1,73.7,.224
