Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,New York Knicks,19,4585,43.4,88.7,.489,13.7,35.0,.391,29.7,53.7,.554,20.0,26.3,.759,11.1,35.8,46.9,26.2,8.9,4.5,14.0,22.8,120.4
2,Oklahoma City Thunder,15,3650,42.9,91.2,.470,13.8,37.9,.365,29.1,53.3,.545,19.7,23.2,.849,11.6,31.5,43.1,26.7,10.5,4.8,13.4,22.2,119.3
3,San Antonio Spurs,23,5570,40.2,87.8,.458,13.0,36.4,.359,27.2,51.4,.528,20.9,26.4,.792,11.9,35.6,47.5,24.8,8.5,7.1,14.8,22.4,114.3
4,Boston Celtics,7,1680,40.7,93.7,.434,16.6,49.2,.337,24.1,44.5,.541,15.7,21.3,.736,13.0,37.0,50.0,25.3,5.8,5.0,12.7,20.7,113.7
5,Toronto Raptors,7,1705,40.8,87.9,.465,10.7,30.1,.356,30.1,57.8,.521,19.3,26.5,.727,11.6,29.3,40.8,26.6,9.3,5.8,15.8,23.3,111.7
6,Cleveland Cavaliers,18,4395,38.7,84.8,.456,12.9,39.4,.328,25.8,45.4,.568,21.2,28.8,.739,12.0,30.3,42.3,22.4,8.1,5.2,17.3,21.1,111.5
7,Phoenix Suns,4,960,40.4,90.6,.446,13.4,39.4,.340,27.1,51.2,.528,16.5,20.7,.797,12.6,29.7,42.3,23.1,5.8,2.9,16.8,24.4,110.8
8,Detroit Pistons,14,3385,39.5,88.1,.448,11.3,31.5,.359,28.2,56.6,.498,20.4,26.7,.766,13.6,32.8,46.4,23.6,9.2,7.7,16.9,24.7,110.7
9,Philadelphia 76ers,11,2640,39.6,88.6,.447,11.8,35.0,.338,27.8,53.6,.519,18.8,23.7,.792,9.0,31.5,40.5,22.7,5.7,4.2,12.9,22.0,109.9
10,Denver Nuggets,6,1440,36.9,84.6,.436,10.1,32.6,.311,26.7,51.9,.515,25.2,30.6,.823,7.1,31.8,38.9,24.9,7.4,4.2,12.2,23.0,109.1
11,Los Angeles Lakers,10,2425,39.0,82.6,.472,11.1,28.8,.385,27.9,53.8,.519,19.8,26.0,.762,10.9,31.1,42.0,25.4,7.4,5.3,19.3,22.1,109.0
12,Minnesota Timberwolves,12,2880,39.9,91.2,.437,10.5,31.2,.337,29.3,60.0,.489,18.1,24.1,.751,12.1,33.4,45.5,23.3,6.4,3.4,13.8,24.4,108.3
13,Houston Rockets,6,1465,37.7,92.2,.409,10.7,35.6,.302,27.0,56.7,.476,19.7,26.3,.748,14.5,30.0,44.5,22.3,12.3,5.7,14.8,23.4,105.8
14,Portland Trail Blazers,5,1200,37.3,92.6,.403,12.1,40.1,.302,25.2,52.6,.480,17.5,22.9,.764,12.5,29.8,42.4,22.3,7.9,5.0,13.4,23.4,104.3
15,Atlanta Hawks,6,1440,37.8,86.6,.436,11.7,37.6,.312,26.1,49.0,.532,16.6,22.9,.722,9.5,28.6,38.1,22.9,7.6,5.0,15.2,22.9,103.9
16,Orlando Magic,7,1680,34.7,87.5,.397,11.7,35.6,.328,23.1,51.8,.445,21.3,29.8,.714,11.8,31.7,43.6,20.8,10.8,6.3,15.0,25.0,102.4
