Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,New York Knicks,19,241.3,41.7,85.3,.489,13.2,33.7,.391,28.6,51.6,.554,19.2,25.3,.759,10.7,34.4,45.1,25.2,8.6,4.3,13.5,21.9,115.8
2,Oklahoma City Thunder,15,243.3,41.5,88.3,.470,13.4,36.7,.365,28.1,51.6,.545,19.1,22.5,.849,11.2,30.5,41.7,25.9,10.2,4.6,13.0,21.5,115.5
3,San Antonio Spurs,23,242.2,39.5,86.3,.458,12.8,35.7,.359,26.7,50.6,.528,20.5,25.9,.792,11.7,35.0,46.7,24.3,8.3,7.0,14.6,22.0,112.4
4,Toronto Raptors,7,243.6,40.3,86.7,.465,10.6,29.7,.356,29.7,57.0,.521,19.0,26.1,.727,11.4,28.9,40.3,26.3,9.1,5.7,15.6,23.0,110.1
5,Minnesota Timberwolves,12,240.0,39.8,91.2,.437,10.5,31.2,.337,29.3,60.0,.489,18.1,24.1,.751,12.1,33.4,45.5,23.3,6.4,3.4,13.8,24.4,108.3
6,Cleveland Cavaliers,18,244.2,37.4,82.1,.456,12.5,38.1,.328,24.9,43.9,.568,20.6,27.8,.739,11.6,29.3,40.9,21.7,7.9,5.1,16.7,20.4,107.9
7,Denver Nuggets,6,240.0,36.3,83.3,.436,10.0,32.2,.311,26.3,51.2,.515,24.8,30.2,.823,7.0,31.3,38.3,24.5,7.3,4.2,12.0,22.7,107.5
8,Boston Celtics,7,240.0,38.1,87.9,.434,15.6,46.1,.337,22.6,41.7,.541,14.7,20.0,.736,12.1,34.7,46.9,23.7,5.4,4.7,11.9,19.4,106.6
9,Phoenix Suns,4,240.0,38.5,86.3,.446,12.8,37.5,.340,25.8,48.8,.528,15.8,19.8,.797,12.0,28.3,40.3,22.0,5.5,2.8,16.0,23.3,105.5
10,Detroit Pistons,14,241.8,37.4,83.5,.448,10.7,29.9,.359,26.7,53.6,.498,19.4,25.3,.766,12.9,31.1,43.9,22.4,8.7,7.3,16.0,23.4,104.9
11,Philadelphia 76ers,11,240.0,37.2,83.1,.447,11.1,32.8,.338,26.1,50.3,.519,17.6,22.3,.792,8.5,29.5,38.0,21.3,5.4,3.9,12.1,20.6,103.1
12,Los Angeles Lakers,10,242.5,36.6,77.5,.472,10.4,27.0,.385,26.2,50.5,.519,18.6,24.4,.762,10.2,29.2,39.4,23.8,6.9,5.0,18.1,20.7,102.2
13,Atlanta Hawks,6,240.0,36.5,83.7,.436,11.3,36.3,.312,25.2,47.3,.532,16.0,22.2,.722,9.2,27.7,36.8,22.2,7.3,4.8,14.7,22.2,100.3
14,Portland Trail Blazers,5,240.0,35.8,88.8,.403,11.6,38.4,.302,24.2,50.4,.480,16.8,22.0,.764,12.0,28.6,40.6,21.4,7.6,4.8,12.8,22.4,100.0
15,Houston Rockets,6,244.2,35.2,86.0,.409,10.0,33.2,.302,25.2,52.8,.476,18.3,24.5,.748,13.5,28.0,41.5,20.8,11.5,5.3,13.8,21.8,98.7
16,Orlando Magic,7,240.0,33.1,83.4,.397,11.1,34.0,.328,22.0,49.4,.445,20.3,28.4,.714,11.3,30.3,41.6,19.9,10.3,6.0,14.3,23.9,97.7
,League Average,11,241.8,38.5,85.1,.452,11.9,34.4,.348,26.5,50.8,.522,19.1,24.8,.768,11.2,31.4,42.5,23.3,8.0,5.1,14.4,22.0,107.9
