Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Nickeil Alexander-Walker,SG,27,ATL,6,6,213,4.6,12.0,.380,3.0,7.3,.419,1.5,4.7,.321,1.7,2.5,.667,0.5,1.9,2.4,2.7,0.5,0.8,2.9,2.0,13.9,alexani01
2,Grayson Allen,SG,30,PHO,2,0,38,5.7,12.3,.462,3.8,10.4,.364,1.9,1.9,1.000,2.8,3.8,.750,0.9,2.8,3.8,3.8,0.0,1.9,0.0,2.8,18.0,allengr01
3,Jarrett Allen,C,27,CLE,18,18,529,5.9,9.3,.635,0.0,0.0,,5.9,9.3,.635,3.7,6.5,.579,3.9,4.9,8.8,1.3,1.2,2.1,1.2,2.4,15.6,allenja01
4,Jose Alvarado,PG,27,NYK,18,0,170,6.1,14.2,.433,2.5,7.2,.353,3.6,7.0,.515,1.1,1.3,.833,0.4,4.9,5.3,4.4,2.1,0.4,2.1,4.4,15.9,alvarjo01
5,Kyle Anderson,SF,32,MIN,8,0,61,3.5,10.0,.353,0.0,0.6,.000,3.5,9.4,.375,1.8,4.7,.375,1.2,3.0,4.1,8.9,1.2,0.0,3.5,3.5,8.9,anderky01
6,OG Anunoby,PF,28,NYK,17,17,586,6.8,12.2,.561,2.7,5.5,.489,4.1,6.6,.620,4.7,5.5,.854,0.9,5.7,6.6,1.7,1.6,1.2,0.6,2.8,21.0,anunoog01
7,Deni Avdija,SF,25,POR,5,5,174,7.2,16.1,.449,1.4,4.1,.350,5.8,12.0,.483,7.0,9.7,.723,0.6,5.6,6.2,4.8,0.4,0.6,3.5,3.9,23.0,avdijde01
8,Deandre Ayton,C,27,LAL,10,10,285,5.8,10.6,.548,0.0,0.0,,5.8,10.6,.548,1.0,1.6,.615,4.7,7.5,12.1,1.1,0.3,1.0,1.6,3.5,12.6,aytonde01
9,Paolo Banchero,PF,23,ORL,7,7,273,7.9,18.9,.420,1.8,5.5,.333,6.1,13.3,.455,6.6,9.8,.676,1.2,7.1,8.3,5.8,1.3,0.7,3.2,2.4,24.3,banchpa01
10,Desmond Bane,SG,27,ORL,7,7,253,6.1,15.7,.391,3.6,8.3,.431,2.6,7.4,.346,2.3,2.8,.800,1.4,3.3,4.7,1.8,1.8,0.3,1.6,4.0,18.1,banede01
11,Dalano Banton,PG,26,BOS,2,0,4,9.0,9.0,1.000,0.0,0.0,,9.0,9.0,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,bantoda01
12,Dominick Barlow,PF,22,PHI,9,0,96,3.7,6.4,.588,0.0,0.4,.000,3.7,6.0,.625,2.3,2.6,.857,2.3,3.4,5.6,0.4,0.7,1.5,0.7,3.4,9.7,barlodo01
13,Harrison Barnes,PF,33,SAS,20,0,183,2.6,7.7,.333,1.2,5.1,.231,1.4,2.6,.538,2.8,3.3,.824,3.1,2.0,5.1,1.0,0.4,0.2,1.0,1.6,9.0,barneha02
14,Scottie Barnes,PF,24,TOR,7,7,273,7.8,15.3,.509,1.1,2.8,.381,6.7,12.5,.537,5.7,7.1,.796,1.5,4.2,5.7,7.9,1.1,1.6,3.2,2.8,22.3,barnesc01
15,RJ Barrett,SF,25,TOR,7,7,271,8.4,17.5,.477,2.3,5.8,.386,6.1,11.7,.523,3.5,5.4,.634,1.9,4.6,6.5,3.7,1.2,0.3,3.3,3.2,22.5,barrerj01
16,Jamison Battle,SF,24,TOR,6,0,71,5.6,9.6,.579,3.5,5.6,.636,2.0,4.1,.500,0.0,0.0,,1.5,4.1,5.6,0.5,0.0,0.0,0.5,3.0,14.7,battlja01
17,Joan Beringer,PF,19,MIN,5,0,23,7.8,14.1,.556,0.0,0.0,,7.8,14.1,.556,9.4,12.5,.750,7.8,9.4,17.2,0.0,3.1,3.1,4.7,0.0,25.0,berinjo01
18,Goga Bitadze,C,26,ORL,6,0,83,2.6,6.5,.400,0.0,0.0,,2.6,6.5,.400,2.2,3.0,.714,5.6,4.8,10.4,0.9,0.9,4.3,1.7,6.1,7.4,bitadgo01
19,Bismack Biyombo,C,33,SAS,9,0,25,4.3,10.1,.429,0.0,0.0,,4.3,10.1,.429,0.0,0.0,,1.4,2.9,4.3,0.0,0.0,2.9,2.9,5.8,8.6,biyombi01
20,Anthony Black,PG,22,ORL,7,0,196,3.7,9.9,.370,1.3,4.0,.318,2.4,5.9,.406,2.4,3.9,.619,0.4,3.7,4.0,1.8,2.8,0.9,0.9,3.5,11.0,blackan01
21,Adem Bona,C,22,PHI,10,3,96,3.0,6.0,.500,0.0,0.0,,3.0,6.0,.500,3.7,6.0,.625,4.1,3.7,7.9,0.4,0.4,2.6,4.1,8.6,9.7,bonaad01
22,Devin Booker,SG,29,PHO,4,4,153,6.8,14.8,.460,1.2,4.7,.250,5.6,10.1,.558,5.2,6.6,.786,2.4,1.6,4.0,4.5,0.2,0.2,3.8,3.5,20.0,bookede01
23,Jamaree Bouyea,PG,26,PHO,4,0,10,7.2,14.4,.500,0.0,0.0,,7.2,14.4,.500,3.6,7.2,.500,3.6,7.2,10.8,3.6,3.6,0.0,0.0,0.0,18.0,bouyeja01
24,Tony Bradley,C,28,ATL,4,0,41,2.6,3.5,.750,0.9,0.9,1.000,1.8,2.6,.667,3.5,5.3,.667,0.9,8.8,9.7,2.6,1.8,2.6,0.9,6.1,9.7,bradlto01
25,Christian Braun,SG,24,DEN,6,6,187,2.9,6.9,.417,1.2,2.7,.429,1.7,4.2,.409,2.7,3.7,.737,0.4,3.7,4.0,1.9,1.2,1.0,0.8,2.5,9.6,braunch01
26,Mikal Bridges,SF,29,NYK,19,19,608,6.2,11.1,.559,1.4,3.7,.365,4.9,7.4,.656,1.4,1.5,.920,0.4,3.2,3.6,3.1,1.1,0.4,1.0,2.1,15.2,bridgmi01
27,Dillon Brooks,SF,30,PHO,4,4,149,9.4,20.5,.459,3.4,7.7,.438,6.0,12.8,.472,2.9,2.9,1.000,1.2,4.6,5.8,1.7,0.2,0.2,1.4,4.3,25.1,brookdi01
28,Johni Broome,C,23,PHI,2,0,8,13.5,27.0,.500,4.5,18.0,.250,9.0,9.0,1.000,0.0,0.0,,4.5,4.5,9.0,4.5,0.0,0.0,0.0,0.0,31.5,broomjo01
29,Bruce Brown,SG,29,DEN,6,0,116,4.7,10.6,.441,0.9,3.4,.273,3.7,7.1,.522,1.6,2.8,.556,0.9,4.0,5.0,3.1,3.1,0.0,2.8,5.0,11.8,brownbr01
30,Jaylen Brown,SF,29,BOS,7,7,249,9.4,20.7,.455,2.5,6.1,.405,6.9,14.6,.475,4.8,6.7,.717,1.6,4.2,5.8,3.3,0.9,1.2,3.6,3.0,26.0,brownja02
31,Jalen Brunson,PG,29,NYK,19,19,702,9.8,21.2,.465,2.3,6.4,.363,7.5,14.8,.509,5.6,6.7,.846,0.6,2.5,3.1,5.9,1.2,0.0,2.6,2.1,27.6,brunsja01
32,Carter Bryant,PF,20,SAS,22,0,187,4.2,8.5,.500,2.3,5.6,.414,1.9,2.9,.667,0.4,1.2,.333,1.7,5.6,7.3,2.9,0.6,1.2,2.7,7.7,11.2,bryanca01
33,Thomas Bryant,C,28,CLE,9,0,41,5.3,18.4,.286,1.8,10.5,.167,3.5,7.9,.444,2.6,2.6,1.000,2.6,7.0,9.7,1.8,1.8,0.9,1.8,3.5,14.9,bryanth01
34,Jamal Cain,SF,26,ORL,7,3,123,3.5,8.5,.414,0.9,3.5,.250,2.6,5.0,.529,1.5,3.2,.455,2.0,5.0,7.0,1.2,0.6,0.9,1.5,4.1,9.4,cainja01
35,Toumani Camara,PF,25,POR,5,5,165,2.4,8.3,.289,1.5,5.9,.259,0.9,2.4,.364,1.3,1.3,1.000,1.7,4.1,5.9,1.3,1.5,0.7,1.5,2.8,7.6,camarto01
36,Clint Capela,C,31,HOU,4,0,22,4.9,13.1,.375,0.0,0.0,,4.9,13.1,.375,0.0,0.0,,8.2,3.3,11.5,1.6,0.0,1.6,1.6,1.6,9.8,capelca01
37,Jevon Carter,PG,30,ORL,3,0,17,2.1,8.5,.250,0.0,4.2,.000,2.1,4.2,.500,0.0,0.0,,2.1,2.1,4.2,4.2,2.1,0.0,0.0,0.0,4.2,carteje01
38,Wendell Carter Jr.,C,26,ORL,7,7,237,3.8,7.3,.521,0.8,2.7,.278,3.0,4.6,.667,3.3,4.7,.710,3.0,4.4,7.4,3.0,0.6,1.8,1.5,4.3,11.7,cartewe01
39,Alex Caruso,SG,31,OKC,15,0,353,5.6,11.7,.478,3.4,7.5,.446,2.2,4.2,.537,2.2,2.8,.815,0.6,4.0,4.6,3.2,2.1,0.7,1.4,3.2,16.8,carusal01
40,Stephon Castle,PG,21,SAS,23,23,760,6.4,14.0,.459,1.7,4.7,.350,4.8,9.3,.515,5.3,6.4,.816,1.6,3.9,5.5,6.7,1.0,0.4,3.8,4.2,19.8,castlst01
41,Julian Champagnie,SF,24,SAS,23,23,705,4.4,10.0,.444,3.1,7.9,.396,1.3,2.1,.619,1.2,1.5,.767,1.1,5.6,6.7,1.8,1.5,0.6,0.7,2.6,13.2,champju02
42,Sidy Cissoko,SF,21,POR,4,0,26,5.5,13.8,.400,2.8,6.9,.400,2.8,6.9,.400,1.4,1.4,1.000,2.8,4.2,6.9,1.4,5.5,0.0,1.4,5.5,15.2,cissosi01
43,Jaylen Clark,SG,24,MIN,6,0,57,1.9,7.6,.250,1.3,5.1,.250,0.6,2.5,.250,1.3,1.3,1.000,1.3,3.2,4.4,1.9,0.6,0.6,0.0,3.8,6.3,clarkja02
44,Jordan Clarkson,SG,33,NYK,18,0,195,6.5,14.2,.455,0.7,3.5,.211,5.7,10.7,.534,2.8,3.5,.789,3.3,2.4,5.7,2.0,0.7,0.2,3.0,4.6,16.4,clarkjo01
