Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Nickeil Alexander-Walker,SG,27,ATL,6,6,213,27,71,.380,18,43,.419,9,28,.321,.507,10,15,.667,3,11,14,16,3,5,17,12,82,alexani01
2,Grayson Allen,SG,30,PHO,2,0,38,6,13,.462,4,11,.364,2,2,1.000,.615,3,4,.750,1,3,4,4,0,2,0,3,19,allengr01
3,Jarrett Allen,C,27,CLE,18,18,529,87,137,.635,0,0,,87,137,.635,.635,55,95,.579,57,72,129,19,18,31,17,36,229,allenja01
4,Jose Alvarado,PG,27,NYK,18,0,170,29,67,.433,12,34,.353,17,33,.515,.522,5,6,.833,2,23,25,21,10,2,10,21,75,alvarjo01
5,Kyle Anderson,SF,32,MIN,8,0,61,6,17,.353,0,1,.000,6,16,.375,.353,3,8,.375,2,5,7,15,2,0,6,6,15,anderky01
6,OG Anunoby,PF,28,NYK,17,17,586,111,198,.561,44,90,.489,67,108,.620,.672,76,89,.854,15,92,107,28,26,19,10,45,342,anunoog01
7,Deni Avdija,SF,25,POR,5,5,174,35,78,.449,7,20,.350,28,58,.483,.494,34,47,.723,3,27,30,23,2,3,17,19,111,avdijde01
8,Deandre Ayton,C,27,LAL,10,10,285,46,84,.548,0,0,,46,84,.548,.548,8,13,.615,37,59,96,9,2,8,13,28,100,aytonde01
9,Paolo Banchero,PF,23,ORL,7,7,273,60,143,.420,14,42,.333,46,101,.455,.469,50,74,.676,9,54,63,44,10,5,24,18,184,banchpa01
10,Desmond Bane,SG,27,ORL,7,7,253,43,110,.391,25,58,.431,18,52,.346,.505,16,20,.800,10,23,33,13,13,2,11,28,127,banede01
11,Dalano Banton,PG,26,BOS,2,0,4,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2,bantoda01
12,Dominick Barlow,PF,22,PHI,9,0,96,10,17,.588,0,1,.000,10,16,.625,.588,6,7,.857,6,9,15,1,2,4,2,9,26,barlodo01
13,Harrison Barnes,PF,33,SAS,20,0,183,13,39,.333,6,26,.231,7,13,.538,.410,14,17,.824,16,10,26,5,2,1,5,8,46,barneha02
14,Scottie Barnes,PF,24,TOR,7,7,273,59,116,.509,8,21,.381,51,95,.537,.543,43,54,.796,11,32,43,60,8,12,24,21,169,barnesc01
15,RJ Barrett,SF,25,TOR,7,7,271,63,132,.477,17,44,.386,46,88,.523,.542,26,41,.634,14,35,49,28,9,2,25,24,169,barrerj01
16,Jamison Battle,SF,24,TOR,6,0,71,11,19,.579,7,11,.636,4,8,.500,.763,0,0,,3,8,11,1,0,0,1,6,29,battlja01
17,Joan Beringer,PF,19,MIN,5,0,23,5,9,.556,0,0,,5,9,.556,.556,6,8,.750,5,6,11,0,2,2,3,0,16,berinjo01
18,Goga Bitadze,C,26,ORL,6,0,83,6,15,.400,0,0,,6,15,.400,.400,5,7,.714,13,11,24,2,2,10,4,14,17,bitadgo01
19,Bismack Biyombo,C,33,SAS,9,0,25,3,7,.429,0,0,,3,7,.429,.429,0,0,,1,2,3,0,0,2,2,4,6,biyombi01
20,Anthony Black,PG,22,ORL,7,0,196,20,54,.370,7,22,.318,13,32,.406,.435,13,21,.619,2,20,22,10,15,5,5,19,60,blackan01
21,Adem Bona,C,22,PHI,10,3,96,8,16,.500,0,0,,8,16,.500,.500,10,16,.625,11,10,21,1,1,7,11,23,26,bonaad01
22,Devin Booker,SG,29,PHO,4,4,153,29,63,.460,5,20,.250,24,43,.558,.500,22,28,.786,10,7,17,19,1,1,16,15,85,bookede01
23,Jamaree Bouyea,PG,26,PHO,4,0,10,2,4,.500,0,0,,2,4,.500,.500,1,2,.500,1,2,3,1,1,0,0,0,5,bouyeja01
24,Tony Bradley,C,28,ATL,4,0,41,3,4,.750,1,1,1.000,2,3,.667,.875,4,6,.667,1,10,11,3,2,3,1,7,11,bradlto01
