Rk,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%3PA,3P%,,Att.,#
1,Atlanta Hawks,6,1440,.436,14.4,,.566,.251,.169,.108,.038,.434,,.532,.730,.376,.352,.421,.312,,.490,.868,,.062,28,,.298,.323,,0,0
2,Boston Celtics,7,1680,.434,17.1,,.475,.169,.151,.093,.062,.525,,.541,.731,.473,.386,.421,.337,,.513,.780,,.044,24,,.158,.196,,0,0
3,Cleveland Cavaliers,18,4395,.456,14.8,,.536,.223,.215,.073,.024,.464,,.568,.703,.470,.481,.444,.328,,.492,.751,,.065,84,,.238,.368,,0,0
4,Denver Nuggets,6,1440,.436,14.2,,.614,.210,.222,.100,.082,.386,,.515,.705,.423,.480,.317,.311,,.601,.867,,.042,21,,.228,.409,,2,1
5,Detroit Pistons,14,3385,.448,13.4,,.642,.210,.261,.130,.042,.358,,.498,.669,.420,.408,.408,.359,,.505,.827,,.070,76,,.249,.346,,0,0
6,Houston Rockets,6,1465,.409,13.9,,.614,.188,.277,.101,.048,.386,,.476,.660,.413,.404,.280,.302,,.470,.900,,.064,31,,.302,.333,,0,0
7,Los Angeles Lakers,10,2425,.472,13.5,,.652,.218,.258,.114,.062,.348,,.519,.716,.425,.398,.438,.385,,.592,.798,,.066,41,,.226,.426,,1,0
8,Minnesota Timberwolves,12,2880,.437,12.7,,.658,.274,.221,.120,.043,.342,,.489,.657,.372,.405,.255,.337,,.480,.873,,.050,48,,.265,.444,,0,0
9,New York Knicks,19,4585,.489,13.5,,.605,.303,.152,.107,.043,.395,,.554,.682,.445,.399,.414,.391,,.490,.848,,.058,81,,.303,.412,,0,0
10,Oklahoma City Thunder,15,3650,.470,15.0,,.584,.199,.170,.152,.063,.416,,.545,.697,.449,.520,.386,.365,,.493,.896,,.060,75,,.285,.401,,0,0
11,Orlando Magic,7,1680,.397,14.5,,.592,.178,.279,.086,.050,.408,,.445,.558,.393,.420,.379,.328,,.487,.821,,.072,32,,.256,.410,,0,0
12,Philadelphia 76ers,11,2640,.447,14.9,,.605,.208,.189,.118,.090,.395,,.519,.695,.434,.389,.463,.338,,.498,.746,,.056,48,,.213,.377,,0,0
13,Phoenix Suns,4,960,.446,15.9,,.565,.136,.197,.174,.058,.435,,.528,.660,.456,.583,.300,.340,,.466,.784,,.046,13,,.193,.310,,1,0
14,Portland Trail Blazers,5,1200,.403,14.4,,.568,.277,.144,.092,.054,.432,,.480,.602,.344,.366,.417,.302,,.521,.759,,.065,26,,.286,.273,,0,0
15,San Antonio Spurs,23,5570,.458,13.8,,.586,.288,.167,.089,.042,.414,,.528,.657,.416,.438,.286,.359,,.480,.898,,.071,129,,.298,.335,,1,1
16,Toronto Raptors,7,1705,.465,12.9,,.657,.300,.160,.147,.051,.343,,.521,.648,.433,.416,.355,.356,,.553,.932,,.061,33,,.255,.340,,0,0
,League Average,11,2605,.452,14.1,,.596,.238,.198,.110,.050,.404,,.522,.675,.425,.433,.377,.348,,.503,.838,,.061,49,,.260,.366,,0.3,0.1
