Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,San Antonio Spurs,23,5570,909,1985,.458,295,822,.359,614,1163,.528,472,596,.792,269,804,1073,560,192,160,335,507,2585
2,New York Knicks,19,4585,793,1621,.489,250,640,.391,543,981,.554,365,481,.759,203,654,857,478,163,82,256,416,2201
3,Cleveland Cavaliers,18,4395,674,1477,.456,225,686,.328,449,791,.568,370,501,.739,209,528,737,390,142,91,301,368,1943
4,Oklahoma City Thunder,15,3650,623,1325,.470,201,551,.365,422,774,.545,286,337,.849,168,458,626,388,153,69,195,322,1733
5,Detroit Pistons,14,3385,524,1169,.448,150,418,.359,374,751,.498,271,354,.766,180,435,615,313,122,102,224,328,1469
6,Minnesota Timberwolves,12,2880,478,1094,.437,126,374,.337,352,720,.489,217,289,.751,145,401,546,279,77,41,166,293,1299
7,Philadelphia 76ers,11,2640,409,914,.447,122,361,.338,287,553,.519,194,245,.792,93,325,418,234,59,43,133,227,1134
8,Los Angeles Lakers,10,2425,366,775,.472,104,270,.385,262,505,.519,186,244,.762,102,292,394,238,69,50,181,207,1022
9,Toronto Raptors,7,1705,282,607,.465,74,208,.356,208,399,.521,133,183,.727,80,202,282,184,64,40,109,161,771
10,Boston Celtics,7,1680,267,615,.434,109,323,.337,158,292,.541,103,140,.736,85,243,328,166,38,33,83,136,746
11,Orlando Magic,7,1680,232,584,.397,78,238,.328,154,346,.445,142,199,.714,79,212,291,139,72,42,100,167,684
12,Denver Nuggets,6,1440,218,500,.436,60,193,.311,158,307,.515,149,181,.823,42,188,230,147,44,25,72,136,645
13,Atlanta Hawks,6,1440,219,502,.436,68,218,.312,151,284,.532,96,133,.722,55,166,221,133,44,29,88,133,602
14,Houston Rockets,6,1465,211,516,.409,60,199,.302,151,317,.476,110,147,.748,81,168,249,125,69,32,83,131,592
15,Portland Trail Blazers,5,1200,179,444,.403,58,192,.302,121,252,.480,84,110,.764,60,143,203,107,38,24,64,112,500
16,Phoenix Suns,4,960,154,345,.446,51,150,.340,103,195,.528,63,79,.797,48,113,161,88,22,11,64,93,422
,League Average,11,2569,409,905,.452,127,365,.348,282,539,.522,203,264,.768,119,333,452,248,86,55,153,234,1147
