Round,Winner,Loser,Winner W,Loser W
Finals,New York Knicks,San Antonio Spurs,4,1
Eastern Conference Finals,New York Knicks,Cleveland Cavaliers,4,0
Western Conference Finals,San Antonio Spurs,Oklahoma City Thunder,4,3
Eastern Conference Semifinals,Cleveland Cavaliers,Detroit Pistons,4,3
Eastern Conference Semifinals,New York Knicks,Philadelphia 76ers,4,0
Western Conference Semifinals,Oklahoma City Thunder,Los Angeles Lakers,4,0
Western Conference Semifinals,San Antonio Spurs,Minnesota Timberwolves,4,2
Eastern Conference First Round,Cleveland Cavaliers,Toronto Raptors,4,3
Eastern Conference First Round,Detroit Pistons,Orlando Magic,4,3
Eastern Conference First Round,New York Knicks,Atlanta Hawks,4,2
Eastern Conference First Round,Philadelphia 76ers,Boston Celtics,4,3
Western Conference First Round,Los Angeles Lakers,Houston Rockets,4,2
Western Conference First Round,Minnesota Timberwolves,Denver Nuggets,4,2
Western Conference First Round,Oklahoma City Thunder,Phoenix Suns,4,0
Western Conference First Round,San Antonio Spurs,Portland Trail Blazers,4,1
